年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量,,,,
2015,台北市,其他莖菜類,38.04,38.04,6059.384858,230.499,,,,
2015,桃園市,其他莖菜類,95.44,95.44,14933.97946,1425.299,,,,
2015,台中市,其他莖菜類,7.39,7.39,13971.17727,103.247,,,,
2015,台南市,其他莖菜類,531.57,531.57,3327.292737,1768.689,,,,
2015,高雄市,其他莖菜類,194.08,194.08,20067.43611,3894.688,,,,
2015,宜蘭縣,其他莖菜類,18.8,18.8,12197.76596,229.318,,,,
2015,新竹縣,其他莖菜類,11.72,11.72,13965.87031,163.68,,,,
2015,苗栗縣,其他莖菜類,76.33,76.33,14532.08437,1109.234,,,,
2015,彰化縣,其他莖菜類,243.72,243.72,30475.74266,7427.548,,,,
2015,南投縣,其他莖菜類,10.25,10.25,12778.53659,130.98,,,,
2015,雲林縣,其他莖菜類,306.68,306.68,25704.65632,7883.104,,,,
2015,嘉義縣,其他莖菜類,183.22,183.22,13795.30619,2527.576,,,,
2015,屏東縣,其他莖菜類,8.99,8.99,12079.31034,108.593,,,,
2015,台東縣,其他莖菜類,9.3,9.3,10955.91398,101.89,,,,
2015,花蓮縣,其他莖菜類,62.28,62.28,10068.12781,627.043,,,,
2015,澎湖縣,其他莖菜類,8.88,8.88,9397.184685,83.447,,,,
2015,基隆市,其他莖菜類,0.09,0.09,9577.777778,0.862,,,,
2015,新竹市,其他莖菜類,1.72,1.72,12494.18605,21.49,,,,
2015,嘉義市,其他莖菜類,2.54,2.54,14142.12598,35.921,,,,
2015,金門縣,其他莖菜類,0.11,0.11,24300,2.673,,,,
2015,連江縣,其他莖菜類,0,0,0,0,,,,
2015,新北市,甘藍,103.71,103.71,33533.59367,3477.769,,,,
2015,台北市,甘藍,52.13,52.13,10119.7583,527.543,,,,
2015,桃園市,甘藍,84.53,84.51,25516.86191,2156.43,,,,
2015,台中市,甘藍,595.6,595.6,56005.57757,33356.922,,,,
2015,台南市,甘藍,407.91,407.91,46667.94881,19036.323,,,,
2015,高雄市,甘藍,165.08,165.08,39344.71165,6495.025,,,,
2015,宜蘭縣,甘藍,1244.76,1244.51,65544.40784,81570.671,,,,
2015,新竹縣,甘藍,129.03,129.03,35652.59242,4600.254,,,,
2015,苗栗縣,甘藍,123.46,123.46,33962.99206,4193.071,,,,
2015,彰化縣,甘藍,992.61,992.61,40547.41641,40247.771,,,,
2015,南投縣,甘藍,616.46,616.46,53180.78545,32783.827,,,,
2015,雲林縣,甘藍,1794.26,1794.26,50015.45038,89740.722,,,,
2015,嘉義縣,甘藍,362.7,362.7,52420.16267,19012.793,,,,
2015,屏東縣,甘藍,310.04,310.04,39979.77358,12395.329,,,,
2015,台東縣,甘藍,211.69,211.69,33040.63017,6994.371,,,,
2015,花蓮縣,甘藍,178.43,178.43,22428.38648,4001.897,,,,
2015,澎湖縣,甘藍,28.47,28.46,13898.45397,395.55,,,,
2015,基隆市,甘藍,0.58,0.58,10482.75862,6.08,,,,
2015,新竹市,甘藍,6.81,6.81,18775.47724,127.861,,,,
2015,嘉義市,甘藍,1.8,1.8,29366.66667,52.86,,,,
2015,金門縣,甘藍,5.28,5.28,27307.38636,144.183,,,,
2015,連江縣,甘藍,0,0,0,0,,,,
2015,新北市,大芥菜,55.87,55.87,16251.33345,907.962,,,,
2015,台北市,大芥菜,52.61,52.61,12116.06159,637.426,,,,
2015,桃園市,大芥菜,24.9,24.9,22523.09237,560.825,,,,
2015,台中市,大芥菜,5.11,5.11,17620.15656,90.039,,,,
2015,台南市,大芥菜,176.72,176.72,22605.21729,3994.794,,,,
2015,高雄市,大芥菜,33.25,33.25,15620.30075,519.375,,,,
2015,宜蘭縣,大芥菜,5.09,5.09,17475.44204,88.95,,,,
2015,新竹縣,大芥菜,37.61,37.07,22312.46291,827.123,,,,
2015,苗栗縣,大芥菜,39.98,39.98,29356.75338,1173.683,,,,
2015,彰化縣,大芥菜,65.2,65.2,37516.33436,2446.065,,,,
2015,南投縣,大芥菜,1.99,1.99,24984.92462,49.72,,,,
2015,雲林縣,大芥菜,215.51,215.51,23460.6886,5056.013,,,,
2015,嘉義縣,大芥菜,509.41,509.41,23261.25125,11849.514,,,,
2015,屏東縣,大芥菜,1.87,1.87,15255.61497,28.528,,,,
2015,台東縣,大芥菜,1.3,1.3,16953.84615,22.04,,,,
2015,花蓮縣,大芥菜,31.28,31.28,13531.93734,423.279,,,,
2015,澎湖縣,大芥菜,2,2,8838.5,17.677,,,,
