grant_title,id,organization,total_amount,group,Grant start date,start_year
嘉義市,966,其他根菜類,0,low,11/20/2009,2014
金門縣,967,其他根菜類,0,low,8/22/2009,2014
連江縣,968,其他根菜類,0,low,5/1/2008,2014
新北市,969,薑,9,low,11/12/2009,2014
台北市,970,薑,2,low,1/4/2010,2014
台中市,971,薑,64,low,10/20/2009,2014
台南市,972,薑,1,low,10/21/2009,2014
高雄市,973,薑,20,low,9/1/2008,2014
宜蘭縣,974,薑,44,low,10/8/2008,2014
桃園縣,975,薑,7,low,9/1/2008,2014
新竹縣,976,薑,20,low,8/28/2009,2014
苗栗縣,977,薑,88,low,9/1/2008,2014
彰化縣,978,薑,0,low,11/1/2008,2014
南投縣,979,薑,217,low,10/1/2008,2014
雲林縣,980,薑,3,low,11/20/2009,2014
嘉義縣,981,薑,27,low,10/1/2008,2014
屏東縣,982,薑,5,low,5/1/2008,2014
台東縣,983,薑,204,low,9/1/2008,2014
花蓮縣,984,薑,39,low,11/4/2009,2014
澎湖縣,985,薑,0,low,7/15/2009,2014
基隆市,986,薑,0,low,9/25/2009,2014
新竹市,987,薑,0,low,11/1/2008,2014
嘉義市,988,薑,1,low,5/1/2008,2014
金門縣,989,薑,0,low,9/25/2009,2014
連江縣,990,薑,0,low,10/1/2008,2014
新北市,991,芋,84,low,12/1/2008,2014
台北市,992,芋,4,low,11/18/2009,2014
台中市,993,芋,731,medium,5/1/2008,2014
台南市,994,芋,79,low,7/1/2008,2014
高雄市,995,芋,52,low,2/15/2008,2014
宜蘭縣,996,芋,26,low,12/1/2008,2014
桃園縣,997,芋,5,low,1/1/2009,2014
新竹縣,998,芋,21,low,9/30/2009,2014
苗栗縣,999,芋,590,medium,7/1/2008,2014
彰化縣,1000,芋,22,low,11/1/2008,2014
